132	Mega Man 2	Mega Man	megaman 2	megaman									
133	Mega Man 3	Mega Man	megaman 3										
19	Metal Gear Rising: Revengeance	Metal Gear	metal gear rising revengeance	metal gear rising: revengeance	mgr revengeance	mgr	revengeance						
20	Metal Gear Solid	Metal Gear	mgs	metal gear solid									
21	Mighty Switch Force	Mighty Switch Force	msf	mighty switch force	mighty switch force 1	msf1							
22	Mighty Switch Force 2	Mighty Switch Force	msf2	mighty switch force 2									
62	Mirror's Edge	Mirror's Edge	Mirrors Edge										
63	Mother 2	MOTHER	Earthbound										
64	Mother	MOTHER	Earthbound Beginnings										
128	Papers, Please	Papers, Please	papers please	va11 halla									
91	Perfect Dark	Perfect Dark											
23	Persona 5	Persona	persona 5 royal	persona 5 royal	p5	p5r	persona 5 the royal						
24	Persona 5 Royal	Persona	persona 5 r	p5r									
25	Persona 4 Dancing All Night	Persona	persona 4 dancing	p4d									
26	Persona 3 Portable	Persona	p3 p	Persona 3 Portable	p3 portable	persona 3 p	p3 psp	persona 3 psp					
27	Persona 3 FES	Persona	Persona 3 fes	p3 fes	p3 fes	Persona 3 festival	p3 festival						
28	Persona 3	Persona	Persona 3	p3									
29	PES 5	Persona	pes5	pro evolution soccer 5									
65	Persona 4	Persona	P4	P4G									
66	Persona 4 Golden	Persona	P4G		Persona 4 Golden								
67	Persona 4 Golden The Animation	Persona	P4A	P4 Anime									
68	Persona Q2: New Cinema Labyrinth	Persona	PQ2	New Cinema Labyrinth	P4	P4G							
69	Persona 4 Arena	Persona	P4A	P4 Arena	Persona Q2	Persona Q2 New Cinema Labyrinth							
70	Persona 4 Arena Ultimax	Persona	P4AU		P4AU	P4AU	Persona 4 Arena Ultimax						
30	Pokemon Colosseum	Pokemon	colosseum										
71	Pokemon Diamond and Pearl	Pokemon	DPPt	Pokemon Diamond									
72	Pokemon Platinum	Pokemon	DPPt	Pokemon Platinum	Pokemon Pearl	diamond	pearl	platinum	Pokemon Platinum				
73	Pokemon HeartGold and SoulSilver	Pokemon	HGSS	Pokemon Heartgold									
74	Pokemon Black and White	Pokemon	BW	Pokemon Black	Pokemon Soulsilver	Pokemon Heart Gold	Pokemon Soul Silver	heartgold	soulsilver	heart gold	soul silver		
75	Pokemon Black 2 and White 2	Pokemon	BW2	Pokemon Black 2	Pokemon White	Pokemon Black 2	Pokemon White 2	black	white	black 2	white 2		
