1685	Reiji Mitsurugi ~ Objection! 2011	Ace Attorney Investigations 2	Ace Attorney	https://youtu.be/WqST5c8_L8o	1
1686	Confess the Truth 2011	Ace Attorney Investigations 2	Ace Attorney	https://youtu.be/TLjV1qL3Gd4	1
1687	Confrontation ~ Allegro 2011	Ace Attorney Investigations 2	Ace Attorney	https://youtu.be/NDGYy9y6A5c	1
1688	Investigation ~ Core 2011	Ace Attorney Investigations 2	Ace Attorney	https://youtu.be/2P7_piv0HGA	1
1689	Confrontation ~ Presto 2011	Ace Attorney Investigations 2	Ace Attorney	https://youtu.be/dBymcg6lDWY	1
1690	Pursuit ~ Wanting to Find the Truth	Ace Attorney Investigations 2	Ace Attorney	https://youtu.be/AVA2z_zbWwA	1
1691	Logic Chess ~ Endgame	Ace Attorney Investigations 2	Ace Attorney	https://youtu.be/UD2sCdQZ3Ek	1
1692	Solution! Calm Moment	Ace Attorney Investigations 2	Ace Attorney	https://youtu.be/34mjLPPeGuo	1
315	Courtroom Lobby ~ New Prelude	Apollo Justice: Ace Attorney	Ace Attorney	https://youtu.be/4t7gYBQV_po	1
316	Trial	Apollo Justice: Ace Attorney	Ace Attorney	https://youtu.be/w_lPgaV2bXw	1
317	Cross Examination ~ Moderate 2007	Apollo Justice: Ace Attorney	Ace Attorney	https://youtu.be/D4ragdexomw	1
318	Trance Logic	Apollo Justice: Ace Attorney	Ace Attorney	https://youtu.be/MfG8_1JpEcs	1
319	Cross Examination ~ Allegro 2007	Apollo Justice: Ace Attorney	Ace Attorney	https://youtu.be/ZSUD7ccpZx0	1
320	Tell the Truth 2007	Apollo Justice: Ace Attorney	Ace Attorney	https://youtu.be/58uoTlVgRNU	1
321	Thrill Theme ~ Suspense	Apollo Justice: Ace Attorney	Ace Attorney	https://youtu.be/lUUOVls2GkM	1
322	Trucy's Theme ~ Child of Magic	Apollo Justice: Ace Attorney	Ace Attorney	https://youtu.be/nyeM6Kywxp0	1
323	Ema Skye ~ Scientific Detective	Apollo Justice: Ace Attorney	Ace Attorney	https://youtu.be/c7rywnWMLyc	1
324	Jingle ~ That's All for Today	Apollo Justice: Ace Attorney	Ace Attorney	https://youtu.be/f10LFrjzM30	1
325	Percieve ~ Surging Eyes	Apollo Justice: Ace Attorney	Ace Attorney	https://youtu.be/u6ikBJePm_w	1
326	Detention Center ~ Tragicomic Interview	Apollo Justice: Ace Attorney	Ace Attorney	https://youtu.be/ZrZ_pX0rK1M	1
327	Eccentric 2007	Apollo Justice: Ace Attorney	Ace Attorney	https://youtu.be/xLYLW8YLQ-8	1
328	Investigation ~ Opening 2007	Apollo Justice: Ace Attorney	Ace Attorney	https://youtu.be/mvOZR_ag2Ms	1
329	Kitaki Family	Apollo Justice: Ace Attorney	Ace Attorney	https://youtu.be/4Tnc50uX2e4	1
330	Recollection ~ A Fate Smeared by Tricks and Gadgets	Apollo Justice: Ace Attorney	Ace Attorney	https://youtu.be/jmZ4NoTDtsQ	1
331	Recollection ~ A Hurt Fox	Apollo Justice: Ace Attorney	Ace Attorney	https://youtu.be/AYVPqAmx6jU	1
332	The Guitar's Serenade	Apollo Justice: Ace Attorney	Ace Attorney	https://youtu.be/iQbbu_YAt2Y	1
