Jingle ~ It Can't End Here	Phoenix Wright: Ace Attorney	Ace Attorney	https://youtu.be/yQpyHftAF5U	48
DANGANRONPA	Trigger Happy Havoc	Danganronpa	https://youtu.be/JeitvjG-dgI	49
Beautiful Days	Trigger Happy Havoc	Danganronpa	https://youtu.be/m5K9CIf-XoQ	50
Beautiful Dead	Trigger Happy Havoc	Danganronpa	https://youtu.be/3WZb20NinCs	51
Class Trial (Dawn Edition)	Trigger Happy Havoc	Danganronpa	https://youtu.be/5FbB_obzUNA	52
Mr. Monokuma's Tutoring	Trigger Happy Havoc	Danganronpa	https://youtu.be/zpkl30bTHhw	53
BOX 15	Trigger Happy Havoc	Danganronpa	https://youtu.be/xOpHT6gZ0Rs	54
DISTRUST	Trigger Happy Havoc	Danganronpa	https://youtu.be/7Sbcm-Hb8Sk	55
Desire for Execution	Trigger Happy Havoc	Danganronpa	https://youtu.be/FHlKfNSiM2c	56
Trial Underground	Trigger Happy Havoc	Danganronpa	https://youtu.be/tJlAxq2WcVI	57
M.T.B.	Trigger Happy Havoc	Danganronpa	https://youtu.be/AYsaZnce3ig	58
Discussion -BREAK-	Trigger Happy Havoc	Danganronpa	https://youtu.be/NJ7g-RQQYzg	59
Despair Pollution Noise Music	Trigger Happy Havoc	Danganronpa	https://youtu.be/9hn3gBV-nYc	60
SUPER M.T.B.	Trigger Happy Havoc	Danganronpa	https://youtu.be/fsqfRUCSELU	61
Welcome to Despair Academy	Trigger Happy Havoc	Danganronpa	https://youtu.be/pvXUPQDvpd4	62
Beautiful Morning	Trigger Happy Havoc	Danganronpa	https://youtu.be/-fxT8Ev1AvU	63
Climax Reasoning	Trigger Happy Havoc	Danganronpa	https://youtu.be/e0dZnWkzv2U	64
Mr. Monokuma's Lesson	Trigger Happy Havoc	Danganronpa	https://youtu.be/ELfxtdEakhk	65
SUPER FINAL M.T.B.	Trigger Happy Havoc	Danganronpa	https://youtu.be/kIwKwtYebcE	66
BOX 16	Trigger Happy Havoc	Danganronpa	https://youtu.be/p4z_RMGB414	67
Discussion -HEAT UP-	Trigger Happy Havoc	Danganronpa	https://youtu.be/HgOs-J9Pytc	68
Flashing Anagram	Trigger Happy Havoc	Danganronpa	https://youtu.be/cTrVBMsVPb0	69
New World Order	Trigger Happy Havoc	Danganronpa	https://youtu.be/m3EHCTP3jic	70
Goodbye, Despair Academy	Trigger Happy Havoc	Danganronpa	https://youtu.be/nMTloVZ-QLo	71
