4 Minutes Before Death,https://youtu.be/r3C-FrmHn44,Ghost Trick
Fate Updated,https://youtu.be/8hw63HniDWE,Ghost Trick
Countdown,https://youtu.be/bXXrpgpWJQY,Ghost Trick
The World of the Dead,https://youtu.be/x2CklIRwJvI,Ghost Trick
Lynne ~ A Targeted Redhead,https://youtu.be/w6xMvGbwT7I,Ghost Trick
Ray ~ A Ray of Light,https://youtu.be/31jJ-pmGuO0,Ghost Trick
Awakening,https://youtu.be/Ybi0-OTvoXM,Ghost Trick
Welcome to the Salon,https://youtu.be/PGn9958vneI,Ghost Trick
Complication,https://youtu.be/OrxEVT0wHMc,Ghost Trick
Missile ~ A Courageous Little Animal,https://youtu.be/TWd3JA6cpY0,Ghost Trick
Cabanela ~ A White Lovely Lanky Man,https://youtu.be/eeVXa4cU21g,Ghost Trick
Trauma,https://youtu.be/3kwKogno3dk,Ghost Trick
Jingle,https://youtu.be/EwiF0n073zE,Ghost Trick
4 Minutes Before Death ~ Variation,https://youtu.be/L4X_DMcjYaI,Ghost Trick
Fate Updated ~ Variation,https://youtu.be/h--eFUupy-8,Ghost Trick
Beauty and Dandy,https://youtu.be/3zrqU53d0IA,Ghost Trick
Deadline,https://youtu.be/RkmcpQjZWVA,Ghost Trick
Chained Past,https://youtu.be/MgWCNGpwIYs,Ghost Trick
Informing About the Parting,https://youtu.be/VUGlC8WOQt0,Ghost Trick
The Last Desperate Struggle,https://youtu.be/mFXOJ1mkKtI,Ghost Trick
Reincarnation,https://youtu.be/6HNuTV0GaUk,Ghost Trick
Layton's Theme,https://youtu.be/dFBKHSitIjo,Professor Layton
The Curious Village,https://youtu.be/qPfAwPp9Apw,Professor Layton
Walking in the Village,https://youtu.be/PDt86F-QWm0,Professor Layton
Mysterious Girl,https://youtu.be/J1KmliLXVkE,Professor Layton
Puzzle,https://youtu.be/x2nPysfmt0U,Professor Layton
Something Happens,https://youtu.be/1FuyqT0MsNU,Professor Layton
Pursuit at Night,https://youtu.be/NE_WVSv4sVo,Professor Layton
Night Falls,https://youtu.be/ZPbImzHs5DE,Professor Layton
The Village Starts Moving,https://youtu.be/HxS4AAPb7to,Professor Layton
Ferris Wheel Park,https://youtu.be/xVP_E8IkbPM,Professor Layton
Memory of the Village,https://youtu.be/UBGERI7m63Q,Professor Layton
Ending Theme,https://youtu.be/SlICVgNj690,Professor Layton
Title Theme,https://youtu.be/TmQtwXr9PSo,Rhythm Heaven
Game Select,https://youtu.be/gjioI1QgyoY,Rhythm Heaven
Built to Scale,https://youtu.be/GbeQafrErOY,Rhythm Heaven
Glee Club,https://youtu.be/Mc4odqtZKFk,Rhythm Heaven
Thrilling! Is this Love?,https://youtu.be/XHXVFBKZ9i8,Rhythm Heaven
Remix 1,https://youtu.be/jz39FqoWA20,Rhythm Heaven
Rhythm Rally,https://youtu.be/Ix1Etc5eKck,Rhythm Heaven
Remix 2,https://youtu.be/qLUv4jj2640,Rhythm Heaven
Love Ooh Ooh Paradise,https://youtu.be/MhN1xBvmq2w,Rhythm Heaven
Remix 3,https://youtu.be/0SZMGTXKhNw,Rhythm Heaven
Love Lab,https://youtu.be/sScjtRcE7SQ,Rhythm Heaven
Remix 4,https://youtu.be/LxyG2WRmOD0,Rhythm Heaven
Tunnel,https://youtu.be/v7fphvqlx5I,Rhythm Heaven
Tears of a Dog Ninja,https://youtu.be/A67fTNF-kz8,Rhythm Heaven
Remix 5,https://youtu.be/2pWK8K3YBM0,Rhythm Heaven
Lockstep,https://youtu.be/6ixtYsFcaHw,Rhythm Heaven
